artist_name,album_name,year,avg_dr,min_dr,max_dr,codec,source
Artis Quartett Wien,Karl Weigl String Quartets 1 & 5,2000,16,14,17,lossless,Unknown
Joe Sample,Rainbow Seeker,1978,16,14,17,lossless,CD
Paul Hardcastle,Sound Syndicate,1989,16,14,17,lossless,Unknown
Herb Alpert,Rise [dbx vinyl],1979,16,14,17,lossless,Unknown
Horia Andreescu - Romanian National Radio Orchestra,"Enescu: Complete orchestral works, Vol.2; George Enescu (1881-1955)",1998,16,14,17,lossless,Unknown
Los Angeles Guitar Quartet (SACD Stereo),LAGQ's Guitar Heroes,2004,16,14,17,lossless,CD
Los Angeles Guitar Quartet,LAGQ's Guitar Heroes (SACD Stereo),2004,16,14,17,lossless,CD
Joe Sample,Rainbow Seeker [Acoustic Sounds 192/24],2015,16,14,17,lossless,Download
Noel Gallagher's High Flying Birds,Chasing Yesterday (BrickwallHater Remaster),2015,16,14,17,lossless,Download
Patrice Rushen,Straight From The Heart (Vinyl),1982,16,14,17,lossless,Unknown
Spandau Ballet,True [96kHz & 24Bit VINYL],1983,16,14,17,lossless,Vinyl
Paco de Lucia,Live... One summer night,1984,16,14,17,lossless,CD
The Time,Ice Cream Castle [vinyl],1984,16,14,17,lossless,Unknown
Kraftwerk,Computerwelt,1986,16,14,17,lossless,Unknown
杉山清貴 & オメガトライブ (S. Kiyotaka & Omega Tribe),Never Ending Summer,1984,16,14,17,lossless,CD
"Hellborg, Lane, Selvaganesh",Good People in Times Of Evil,2000,16,14,17,lossless,CD
Chic,C'est Chic,2014,16,14,17,lossless,Download
Keith Jarrett,After the Fall (Disc 1),2018,16,14,17,lossless,CD
Dr. Strut,Struttin' [vinyl],1980,16,14,17,lossless,Vinyl
Commodores,In The Pocket [vinyl],1981,16,14,17,lossless,Unknown
Giorgio Moroder,From Here to Eternity,1977,16,14,17,lossless,Vinyl
Alberto Giraldi Electric Band,Una Storia Semplice,2018,16,14,17,lossless,Download
Steely Dan,Aja,1977,16,14,17,lossless,CD
"Electric Phoenix, London Voices, Rascher Saxophone Quartet, Orchestre de Paris, Semyon Bychkov",Berio ‎– Canticum Novissimi Testamenti II / Sinfonia,1996,16,14,17,lossless,CD
Michael Jackson,Off The Wall (1st Japan Pressing),1982,16,14,17,lossless,CD
Stevie Ray Vaughan and Double Trouble,In Step (Vinyl),1989,16,14,17,lossless,Unknown
Dr. John,Tango Palace [vinyl],1979,16,14,17,lossless,Vinyl
Kool & The Gang,The Dance Collection,1990,16,14,17,lossless,Unknown
Gloria Gaynor,Love Tracks,1978,16,14,17,lossless,Vinyl
"Earth, Wind & Fire",I Am [vinyl],1979,16,14,17,lossless,Unknown
