artist_name,album_name,year,avg_dr,min_dr,max_dr,codec,source
Eiji Oue - Minnesota Orchestra,"Stravinsky: Firebird, Song of the Nightingale, Rite of Spring (HDtracks 88kHz / 24bit)",1996,19,16,21,lossless,Download
Manhattan Jazz Quintet,plays blue note,1988,19,16,21,lossy,Download
Arditti String Quartet,Luciano Berio - The String Quartets,2002,19,16,21,lossless,CD
"New York Philharmonic, Pierre Boulez","Elliott Carter, Edgard Varese",2009,19,16,22,lossless,CD
The Horace Parlan Trio,Pannonica,1992,19,16,22,lossless,CD
Gladiator,Made of Pain,1993,19,17,19,lossless,CD
Eppu Normaali,Valkoinen Kupla,1995,19,17,20,lossless,CD
Gregory James,Sampler (24-96),2010,19,17,20,lossless,Download
Chick Corea Akoustic Band,Alive,1991,19,17,20,lossless,CD
Rodrigo y Gabriela,11:11 Bonus DVD,2009,19,17,20,lossless,Unknown
Philip Sulidae,Perplexor,2020,19,17,21,lossless,Download
Bucky Pizzarelli,Swing Live,2001,19,17,21,lossless,CD
Basel Sinfonietta - André Richard,Chaya Czernowin - Shu Hai practices javelin & Six Miniatures,2002,19,17,21,lossless,CD
Kroumata Percussion Ensemble and Keiko Abe,Kroumata and Keiko Abe: works for marimba and percussion,1989,19,17,21,lossless,CD
John Cage,Complete Music for Piano Vol 16,2004,19,17,22,lossless,CD
Chet Baker Quartet,When Sunny Gets Blue,1988,19,17,22,lossless,CD
Carlos Heredia,Gypsy Flamenco,1996,19,17,22,lossless,CD
John Cage,Complete Music for Piano Vol 12,2004,19,17,25,lossless,CD
Ravi Shankar,Raga Charukauns,1986,19,18,19,lossless,CD
sahelsounds,Field Recordings from the Sahel,2018,19,18,19,lossless,Download
Muslimgauze,Veiled Sisters (disc two),1993,19,18,20,lossless,Unknown
John Cage,Complete Music for Piano Vol 17,2004,19,18,21,lossless,CD
Charly Antolini,Crash,1981,19,18,21,lossless,Unknown
Charly Antolini,Crash (Bell CD),1990,19,18,21,lossless,CD
Charly Antolini,Countdown,1980,19,18,22,lossless,Unknown
Nurse With Wound,To The Quiet Men From A Tiny Girl,1990,19,19,19,lossless,CD
David Del Tredici,In Memory Of A Summer Day,1983,19,19,19,lossless,CD
Shivkumar Sharma & Zakir Hussain,Rag Madhuvanti / Rag Misra Tilang,1988,19,19,19,lossless,CD
Annea Lockwood,Early Works 1967-82,2007,18,09,26,lossless,CD
Henryk Miskiewicz,More Love,1994,18,10,23,lossy,Unknown
Three Generations Trio,Live in Jazz Club Pinokio,1992,18,11,20,lossless,Unknown
Casiopea,Eyes of the mind,1981,18,11,21,lossless,Unknown
Curtis Roads,POINT LINE CLOUD - Electronic music 1999-2003,2019,18,11,22,lossless,CD
David Burge; Einar Rötttingen; Joachim Olsson; Peter Kates,George Crumb ‎– Makrokosmos I-IV,2003,18,11,26,lossless,CD
Varius Artist,"Reference Jazz, Etc.- First Sampling",1990,18,12,18,lossless,CD
Andy Narell,The Hammer,1987,18,12,20,lossy,Unknown
Toshio Hosokawa,Landscapes,2011,18,12,22,lossless,CD
"Atrium Musicae De Madrid, Gregorio Paniagua",La Folia de la Spagna,1982,18,12,23,lossless,CD
"Atrium Musicae De Madrid, Gregorio Paniagua",La Folia De La Spagna,1993,18,12,24,lossless,Vinyl
Prince and the Revolution,Around the World in a Day,1985,18,13,21,lossy,Download
Michael Jackson,Bad,1987,18,15,21,lossless,Vinyl
Harry Partch,The Harry Partch Collection Volume 4: The Bewitched,1997,18,15,21,lossless,Unknown
Anne-Sophie Mutter,Modern - Disk-03,1994,18,15,21,lossless,CD
Lightnin' Hopkins,The Swarthmore Concert,1993,18,15,21,lossless,CD
"Anne-Sophie Mutter, James Levine, Chicago Symphony Orchestra","Berg - Violinkonzert, Rihm - 'Gesungene Zeit'",1992,18,15,21,lossless,CD
Anthony Horowitz,Die fünf Tore - Teufelsstern,2006,18,15,22,lossy,Unknown
Ensemble  Harvey Sollberger,Chaya Czernowin -  Afatsim,1999,18,15,22,lossless,CD
Bucky Pizzarelli,Three For All [HDtracks 192kHz/24bit],2014,18,15,23,lossless,Download
Piano Duo Degenhardt-Kent,"CRUMB / BROWN: New Music For 1, 2 & 3 Pianos",1991,18,15,25,lossless,CD
Fernando Laub,Die Tonality Die,2009,18,15,25,lossy,Unknown
Jan Boerman,The complete tape music of Jan Boerman (Disc 5),1998,18,16,19,lossless,Unknown
Herbie Hancock,Quartet,1983,18,16,19,lossless,CD
George Duke,Dream On,1982,18,16,19,lossless,CD
Herbie Hancock,Lite Me Up,1983,18,16,19,lossless,CD
George Duke,Dream On,1982,18,16,19,lossy,CD
London Symphony Orchestra - Valerie Gergiev,Gustav Mahler - Symphony No. 4,2010,18,16,19,lossless,CD
Art Pepper & Duke Jordan,In Copenhagen 1981 CD1,1996,18,16,19,lossless,CD
Tommy Oscar Grand Orchestra,The Latest Themes,1985,18,16,20,lossless,Unknown
John Cage,Complete Music for Piano Vol 15,2004,18,16,20,lossless,CD
Derek Bailey,Standards,2007,18,16,20,lossless,Unknown
Black Lodge Singers,Pow-Wow Highway Songs,1991,18,16,20,lossless,CD
The New Percussion Group Of Amsterdam / Bill Bruford / Keiko Abe,Go Between,1987,18,16,20,lossless,CD
Irvine Arditti,"Caprices (Salvatore Sciarrino, Elliott Carter, Emmanuel Nunes, Pierre Boulez)",2017,18,16,20,lossless,CD
George Michael,I Want Your Sex (CD Single - Monogamy Mix),1987,18,16,20,lossless,CD
Leonidas Kavakos,Sibelius: Violin Concerto (Original & Final Version),1991,18,16,20,lossless,CD
Kimiko Kasai,New Pastel,1984,18,16,20,lossless,CD
John Kay & Steppenwolf,Wolftracks,1982,18,16,20,lossless,Unknown
Pendragon,The Very Very Bootleg: Live In Lille 1992,1993,18,16,20,lossless,Unknown
Bob Mintzer Big Band,Incredible Journey,1985,18,16,20,lossless,CD
Paco de Lucia,Luzia,1998,18,16,21,lossy,Unknown
Richard Hooper,Nature Recordings: Thunderstorm,1986,18,16,21,lossless,CD
Various Artists,The Sheffield Track & Drum Record,2007,18,16,21,lossless,Unknown
Erich Kunzel Conducting Cincinnati Symphony Orchestra,"Tchaikovsky 1812, Capriccio Italien, Cossack Dance From Mazeppa",2012,18,16,21,lossless,Vinyl
Fiddler's Green,Fiddler's Green,1992,18,16,21,lossy,Unknown
Flim & the BB's,The Further Adventures Of Flim & The BB's,1988,18,16,21,lossless,CD
Various Artists,The Sheffield Track & Drum Record,1990,18,16,22,lossless,Unknown
Bill Engvall,15° Off Cool,2007,18,16,22,lossless,Unknown
Sheffield Lab,Track Record - Drum Record,1981,18,16,22,lossless,Unknown
Sheffield Lab,Track Record - Drum Record,1994,18,16,22,lossless,Unknown
Orchestral Manoeuvres in the Dark,Architecture & Morality,1984,18,16,23,lossy,CD
Herbie Hancock,Herbie Hancock Trio with Ron Carter & Tony Williams (1981),2013,18,17,18,lossless,CD
Johnny Winter And,"Live Johnny Winter And (USA, C 30475, RAW)",1971,18,17,18,lossless,Vinyl
"London Symphony Orchestra, Valerie Gergiev",Gustav Mahler Symphony No. 9,2011,18,17,18,lossless,CD
Art Pepper & Duke Jordan,In Copenhagen 1981 CD2,1996,18,17,18,lossless,CD
Nusrat Fateh Ali Khan,En Concert A Paris Vol. 2,1988,18,17,18,lossless,Unknown
London Sinfonietta - Karlheinz Stockhausen,Stockhausen ‎– YLEM,1992,18,17,18,lossless,CD
Herbie Hancock Trio,Herbie Hancock Trio with Ron Carter & Tony Williams,1982,18,17,18,lossless,Download
Billy Cobham,Incoming,1989,18,17,18,lossless,CD
Horacio Vaggione,La Maquina de Cantar,2019,18,17,18,lossy,Download
"Staatskapelle Dresden, Marek Janowski",Richard Wagner - Das Rheingold,1980,18,17,19,lossless,CD
